t,beta1,r1,sigma
3/11/2021,0.07737569,0.08173999,0.05
4/11/2021,0.07737569,0.08173999,0.05
5/11/2021,0.07737569,0.08173999,0.05
6/11/2021,0.07737569,0.08173999,0.05
7/11/2021,0.07737569,0.08173999,0.05
8/11/2021,0.07737569,0.08173999,0.05
9/11/2021,0.07737569,0.08173999,0.05
10/11/2021,0.07737569,0.08173999,0.05
11/11/2021,0.07737569,0.08173999,0.05
12/11/2021,0.07737569,0.08173999,0.05
13/11/2021,0.07737569,0.08173999,0.05
14/11/2021,0.088662683,0.076089775,0.05
15/11/2021,0.088662683,0.076089775,0.05
16/11/2021,0.088662683,0.076089775,0.05
17/11/2021,0.088662683,0.076089775,0.05
18/11/2021,0.088662683,0.076089775,0.05
19/11/2021,0.088662683,0.076089775,0.05
20/11/2021,0.088662683,0.076089775,0.05
