date,cases_recovered,cases_active,deaths_total,icu_covid,vent_covid,susceptible
12/7/2021,1943513,187797,64289,16336,2458,57698285
13/7/2021,1961448,180824,64509,17236,2409,57687103
14/7/2021,1970516,183658,65142,17560,2373,57674568
15/7/2021,1982122,189088,65595,17404,2311,57657079
16/7/2021,2009456,177812,65972,17084,2398,57640644
17/7/2021,2028881,173913,66385,16819,2370,57624705
18/7/2021,2050164,167040,66676,16819,2370,57610004
19/7/2021,2069085,159151,66859,16624,2325,57598789
20/7/2021,2085119,150105,67080,17268,2285,57591580
21/7/2021,2098818,144738,67676,17286,2208,57582652
22/7/2021,2109820,149460,68192,16991,2170,57566412
23/7/2021,2133196,140509,68625,17064,2117,57551554
24/7/2021,2147168,139806,69075,17064,2117,57537835
25/7/2021,2158183,140434,69488,16542,2438,57525779
26/7/2021,2169452,138596,69775,16412,2407,57516061
27/7/2021,2180494,132978,70018,16441,2420,57510394
28/7/2021,2180494,140341,70388,16252,2420,57502661
29/7/2021,2194762,142855,70908,15964,2418,57485359
30/7/2021,2207960,142760,71431,16127,2403,57471733
31/7/2021,2222338,141019,71679,15923,2390,57458848
1/8/2021,2230871,144570,72013,15641,2349,57446430
2/8/2021,2238388,145605,72191,15710,2282,57437700
3/8/2021,2250708,138613,72437,15788,2285,57432126
4/8/2021,2258603,139151,72992,15628,2285,57423138
